"year","AL.sd","member","model"
1981,-0.703676938586826,"LE2-1091.005","FCM"
1982,0.164671313867689,"LE2-1091.005","FCM"
1983,0.0567126672101555,"LE2-1091.005","FCM"
1984,-0.130808623292075,"LE2-1091.005","FCM"
1985,0.0118123703006544,"LE2-1091.005","FCM"
1986,0.0521843279441267,"LE2-1091.005","FCM"
1987,-0.152418579103206,"LE2-1091.005","FCM"
1988,0.763466500863855,"LE2-1091.005","FCM"
1989,0.772407880188241,"LE2-1091.005","FCM"
1990,0.364620178299595,"LE2-1091.005","FCM"
1991,0.364590920125312,"LE2-1091.005","FCM"
1992,0.276947843123023,"LE2-1091.005","FCM"
1993,0.851338455208313,"LE2-1091.005","FCM"
1994,0.992470375997489,"LE2-1091.005","FCM"
1995,1.55528591102147,"LE2-1091.005","FCM"
1996,1.72333484365588,"LE2-1091.005","FCM"
1997,1.11415283043376,"LE2-1091.005","FCM"
1998,1.21539795404431,"LE2-1091.005","FCM"
1999,1.11022821148088,"LE2-1091.005","FCM"
2000,1.0977331700976,"LE2-1091.005","FCM"
2001,1.02861775580707,"LE2-1091.005","FCM"
2002,1.97658252836981,"LE2-1091.005","FCM"
2003,1.88205381263663,"LE2-1091.005","FCM"
2004,2.10477158977217,"LE2-1091.005","FCM"
2005,2.04249108309182,"LE2-1091.005","FCM"
2006,2.62527462567488,"LE2-1091.005","FCM"
2007,2.53893086122202,"LE2-1091.005","FCM"
2008,2.03313808768825,"LE2-1091.005","FCM"
2009,1.73697813097972,"LE2-1091.005","FCM"
2010,1.39356240212464,"LE2-1091.005","FCM"
2011,1.23434401889107,"LE2-1091.005","FCM"
2012,1.4601568096412,"LE2-1091.005","FCM"
2013,1.39036672145069,"LE2-1091.005","FCM"
2014,1.39415842617196,"LE2-1091.005","FCM"
1964,0.520708240644144,"LE2-1111.006","FCM"
1965,-0.55679076032881,"LE2-1111.006","FCM"
1966,0.556402155136655,"LE2-1111.006","FCM"
1967,0.63236226528878,"LE2-1111.006","FCM"
1968,-0.572511405355838,"LE2-1111.006","FCM"
1969,0.0336123305389213,"LE2-1111.006","FCM"
1970,0.306430145155663,"LE2-1111.006","FCM"
1971,0.44783934142765,"LE2-1111.006","FCM"
1972,0.631499389897661,"LE2-1111.006","FCM"
1973,0.450908395085408,"LE2-1111.006","FCM"
1974,0.0637670040435177,"LE2-1111.006","FCM"
1975,-0.0142171991626203,"LE2-1111.006","FCM"
1976,1.73871449123862,"LE2-1111.006","FCM"
1977,1.80606237783132,"LE2-1111.006","FCM"
1978,1.98516306920775,"LE2-1111.006","FCM"
1979,1.95298287160192,"LE2-1111.006","FCM"
1980,1.96406201318464,"LE2-1111.006","FCM"
1981,1.24659726482279,"LE2-1111.006","FCM"
1982,1.12955850562394,"LE2-1111.006","FCM"
1983,1.1266481622372,"LE2-1111.006","FCM"
1984,0.423950154282102,"LE2-1111.006","FCM"
1985,-0.164773012436906,"LE2-1111.006","FCM"
1986,0.0109904892218878,"LE2-1111.006","FCM"
1987,-0.559561519351887,"LE2-1111.006","FCM"
1988,0.102333235471319,"LE2-1111.006","FCM"
1989,0.299865802942943,"LE2-1111.006","FCM"
1990,0.273522746909409,"LE2-1111.006","FCM"
1991,-1.55353937204833,"LE2-1111.006","FCM"
1992,-1.5591202279517,"LE2-1111.006","FCM"
1993,-1.60197721029741,"LE2-1111.006","FCM"
1994,-1.71386293337119,"LE2-1111.006","FCM"
1995,-1.70331138207619,"LE2-1111.006","FCM"
1996,-1.43075654001455,"LE2-1111.006","FCM"
1997,-1.42638746840078,"LE2-1111.006","FCM"
1998,-0.793288271963924,"LE2-1111.006","FCM"
1999,-0.755387320640719,"LE2-1111.006","FCM"
2000,-0.798567730190883,"LE2-1111.006","FCM"
2001,-0.978232414439834,"LE2-1111.006","FCM"
2002,-0.937210339617604,"LE2-1111.006","FCM"
2003,-1.8900316999467,"LE2-1111.006","FCM"
2004,-1.91985021798672,"LE2-1111.006","FCM"
2005,-1.84376131331218,"LE2-1111.006","FCM"
2006,0.111965536675546,"LE2-1111.006","FCM"
2007,0.194626336081644,"LE2-1111.006","FCM"
2008,-0.0725061724276401,"LE2-1111.006","FCM"
2009,0.551161259551334,"LE2-1111.006","FCM"
2010,0.990700679278958,"LE2-1111.006","FCM"
2011,0.471737887224837,"LE2-1111.006","FCM"
2012,0.511138555923495,"LE2-1111.006","FCM"
2013,1.36899920982698,"LE2-1111.006","FCM"
2014,1.76826049149158,"LE2-1111.006","FCM"
1964,-1.20359681254531,"LE2-1131.007","FCM"
1965,-0.85699424959288,"LE2-1131.007","FCM"
1966,-0.867059693438464,"LE2-1131.007","FCM"
1967,-0.680720047184713,"LE2-1131.007","FCM"
1968,-0.72928622527376,"LE2-1131.007","FCM"
1969,-0.551241999062242,"LE2-1131.007","FCM"
1970,-0.203483526462568,"LE2-1131.007","FCM"
1971,-0.153089749865051,"LE2-1131.007","FCM"
1972,0.24731906638234,"LE2-1131.007","FCM"
1973,0.250827514403802,"LE2-1131.007","FCM"
1974,0.296078881887595,"LE2-1131.007","FCM"
1975,-0.18272629821396,"LE2-1131.007","FCM"
1976,-0.16277577474177,"LE2-1131.007","FCM"
1977,-0.195636481927525,"LE2-1131.007","FCM"
1978,0.194552411164314,"LE2-1131.007","FCM"
1979,0.394026634422581,"LE2-1131.007","FCM"
1980,0.00639456380555374,"LE2-1131.007","FCM"
1981,0.188640270397852,"LE2-1131.007","FCM"
1982,0.168368993071678,"LE2-1131.007","FCM"
1983,0.388409270940788,"LE2-1131.007","FCM"
1984,0.911662882786709,"LE2-1131.007","FCM"
1985,0.438974344493887,"LE2-1131.007","FCM"
1986,0.988379351011872,"LE2-1131.007","FCM"
1987,0.549001369971393,"LE2-1131.007","FCM"
1988,0.826714562784535,"LE2-1131.007","FCM"
1989,1.49954642405859,"LE2-1131.007","FCM"
1990,1.64831644151779,"LE2-1131.007","FCM"
1991,1.542697824672,"LE2-1131.007","FCM"
1992,1.84605360873747,"LE2-1131.007","FCM"
1993,2.44366685908671,"LE2-1131.007","FCM"
1994,2.13441173347265,"LE2-1131.007","FCM"
1995,2.12126030497434,"LE2-1131.007","FCM"
1996,2.78861654406006,"LE2-1131.007","FCM"
1997,2.82846423173702,"LE2-1131.007","FCM"
1998,2.6384119255302,"LE2-1131.007","FCM"
1999,1.91891240909804,"LE2-1131.007","FCM"
2000,1.98638454657456,"LE2-1131.007","FCM"
2001,1.65109796873384,"LE2-1131.007","FCM"
2002,1.87284330390163,"LE2-1131.007","FCM"
2003,1.69504131904856,"LE2-1131.007","FCM"
2004,1.72094388833155,"LE2-1131.007","FCM"
