"year","GOA.ar1","EBS.ar1","member","model"
2001,0.100604241464501,0.074936960100055,"LE2-1301.013","FCM"
2002,0.296379505254585,0.277759915088315,"LE2-1301.013","FCM"
2003,0.405631690544699,0.447278366452291,"LE2-1301.013","FCM"
2004,0.379011095974627,0.463866397575246,"LE2-1301.013","FCM"
2005,0.209727496720395,0.379541492335006,"LE2-1301.013","FCM"
2006,0.398288841205919,0.612870163833053,"LE2-1301.013","FCM"
2007,0.368800147891597,0.669466724587108,"LE2-1301.013","FCM"
2008,0.334949063916346,0.544090525850712,"LE2-1301.013","FCM"
2009,0.333545723345819,0.577082659018139,"LE2-1301.013","FCM"
2010,0.432480867476252,0.591444526565256,"LE2-1301.013","FCM"
2011,0.497562995994181,0.63798168583706,"LE2-1301.013","FCM"
2012,0.497216158725357,0.691358665397532,"LE2-1301.013","FCM"
2013,0.529785434503207,0.685795559102119,"LE2-1301.013","FCM"
2014,0.541602134699195,0.675205791442524,"LE2-1301.013","FCM"
1964,0.171375265220932,0.499398601912489,"LE2-1301.014","FCM"
1965,0.486021303169695,0.447625312032517,"LE2-1301.014","FCM"
1966,0.483270421049031,0.444067776057968,"LE2-1301.014","FCM"
1967,0.479651551801677,0.49642240055733,"LE2-1301.014","FCM"
1968,0.58066412014524,0.566275077544787,"LE2-1301.014","FCM"
1969,0.368994058328446,0.387641530361197,"LE2-1301.014","FCM"
1970,0.477867829748672,0.422651390746535,"LE2-1301.014","FCM"
1971,0.462227668560741,0.31624741878529,"LE2-1301.014","FCM"
1972,0.451975304626016,0.205854645308828,"LE2-1301.014","FCM"
1973,0.448848265892416,0.344475973725607,"LE2-1301.014","FCM"
1974,0.268963495526263,0.292421516345812,"LE2-1301.014","FCM"
1975,0.252269451974509,0.2879441092599,"LE2-1301.014","FCM"
1976,0.22433845002551,0.377418741016789,"LE2-1301.014","FCM"
1977,0.225983327040492,0.382915069634642,"LE2-1301.014","FCM"
1978,0.228663682535293,0.352639256241295,"LE2-1301.014","FCM"
1979,0.203784178495524,0.307774003192185,"LE2-1301.014","FCM"
1980,0.134361313090653,0.38639074260816,"LE2-1301.014","FCM"
1981,0.0833299883667093,0.369338256396889,"LE2-1301.014","FCM"
1982,0.103546915609507,0.310952302344644,"LE2-1301.014","FCM"
1983,0.184644173292472,0.538333374625642,"LE2-1301.014","FCM"
1984,0.188307755158913,0.586153269309752,"LE2-1301.014","FCM"
1985,0.169741261724026,0.608304004212276,"LE2-1301.014","FCM"
1986,0.221937046107073,0.46119816189422,"LE2-1301.014","FCM"
1987,0.0395071557845572,0.113006128576436,"LE2-1301.014","FCM"
1988,-0.0535688364053004,-0.0528324414949228,"LE2-1301.014","FCM"
1989,0.0121743433043813,0.0671042533573782,"LE2-1301.014","FCM"
1990,0.0450209507490411,-0.0862767855317089,"LE2-1301.014","FCM"
1991,0.0329809908033895,0.0164548788002248,"LE2-1301.014","FCM"
1992,0.0438027305718385,-0.0791834159386232,"LE2-1301.014","FCM"
1993,0.056151375473707,0.0432919067984475,"LE2-1301.014","FCM"
1994,0.0847662371614276,0.0533428702114741,"LE2-1301.014","FCM"
