"year","AL.anom","member","model"
1943,1398.94459358397,"LE2-1031.002","FCM"
1944,-43.090935815012,"LE2-1031.002","FCM"
1945,-489.552883622737,"LE2-1031.002","FCM"
1946,-1035.97139896793,"LE2-1031.002","FCM"
1947,534.567940008077,"LE2-1031.002","FCM"
1948,-985.318990746151,"LE2-1031.002","FCM"
1949,-544.766301179974,"LE2-1031.002","FCM"
1950,-495.586356644516,"LE2-1031.002","FCM"
1951,117.603015082684,"LE2-1031.002","FCM"
1952,-1037.32506054938,"LE2-1031.002","FCM"
1953,551.730618784418,"LE2-1031.002","FCM"
1954,248.004620658322,"LE2-1031.002","FCM"
1955,-149.501365530968,"LE2-1031.002","FCM"
1956,-266.188205204075,"LE2-1031.002","FCM"
1957,-1017.62599366705,"LE2-1031.002","FCM"
1958,-944.355524762808,"LE2-1031.002","FCM"
1959,873.347839800002,"LE2-1031.002","FCM"
1960,299.170389928309,"LE2-1031.002","FCM"
1961,711.118564671829,"LE2-1031.002","FCM"
1962,-8.26367145642284,"LE2-1031.002","FCM"
1963,504.996772808858,"LE2-1031.002","FCM"
1964,977.795387886726,"LE2-1031.002","FCM"
1965,-942.960668193815,"LE2-1031.002","FCM"
1966,-706.367993945135,"LE2-1031.002","FCM"
1967,811.982309419884,"LE2-1031.002","FCM"
1968,-14.5589596871024,"LE2-1031.002","FCM"
1969,-67.9169290328694,"LE2-1031.002","FCM"
1970,1059.72331803439,"LE2-1031.002","FCM"
1971,699.739761048918,"LE2-1031.002","FCM"
1972,-504.29817573855,"LE2-1031.002","FCM"
1973,-250.154163072031,"LE2-1031.002","FCM"
1974,-220.85716794121,"LE2-1031.002","FCM"
1975,34.2921882372928,"LE2-1031.002","FCM"
1976,-219.544029918131,"LE2-1031.002","FCM"
1977,301.678161531109,"LE2-1031.002","FCM"
1978,686.954538083249,"LE2-1031.002","FCM"
1979,-33.4114128671494,"LE2-1031.002","FCM"
1980,-434.50779867314,"LE2-1031.002","FCM"
1981,881.88585506351,"LE2-1031.002","FCM"
1982,-999.699373229556,"LE2-1031.002","FCM"
1983,-526.993413167833,"LE2-1031.002","FCM"
1984,334.914958854917,"LE2-1031.002","FCM"
1985,-314.912058313901,"LE2-1031.002","FCM"
1986,288.028348058221,"LE2-1031.002","FCM"
1987,436.130734430049,"LE2-1031.002","FCM"
1988,856.978021420916,"LE2-1031.002","FCM"
1989,124.998519784755,"LE2-1031.002","FCM"
1990,-867.899705988578,"LE2-1031.002","FCM"
1991,1466.08589827903,"LE2-1031.002","FCM"
1992,432.387122555749,"LE2-1031.002","FCM"
1993,-575.674500643046,"LE2-1031.002","FCM"
1994,-557.56552351807,"LE2-1031.002","FCM"
1995,71.4047645622966,"LE2-1031.002","FCM"
1996,-595.469334820846,"LE2-1031.002","FCM"
1997,948.217807312578,"LE2-1031.002","FCM"
1998,-496.299395923351,"LE2-1031.002","FCM"
1999,-412.517096230426,"LE2-1031.002","FCM"
2000,727.0012724791,"LE2-1031.002","FCM"
2001,613.582152231563,"LE2-1031.002","FCM"
2002,-510.923421898594,"LE2-1031.002","FCM"
2003,-123.018874994642,"LE2-1031.002","FCM"
