"year","AL.sd","member","model"
1990,545.255483510614,"LE2-1191.010","FCM"
1991,574.475409603254,"LE2-1191.010","FCM"
1992,533.362929317119,"LE2-1191.010","FCM"
1993,540.31132601477,"LE2-1191.010","FCM"
1994,541.115961231987,"LE2-1191.010","FCM"
1995,571.382798512077,"LE2-1191.010","FCM"
1996,610.986884658829,"LE2-1191.010","FCM"
1997,604.734757033218,"LE2-1191.010","FCM"
1998,564.905768508967,"LE2-1191.010","FCM"
1999,543.780734763827,"LE2-1191.010","FCM"
2000,578.124549433855,"LE2-1191.010","FCM"
2001,577.465921568434,"LE2-1191.010","FCM"
2002,549.732535309771,"LE2-1191.010","FCM"
2003,549.178206647684,"LE2-1191.010","FCM"
2004,570.84125603818,"LE2-1191.010","FCM"
2005,579.141989757355,"LE2-1191.010","FCM"
2006,562.853912032818,"LE2-1191.010","FCM"
2007,565.952035112368,"LE2-1191.010","FCM"
2008,575.528954183594,"LE2-1191.010","FCM"
2009,589.236194324897,"LE2-1191.010","FCM"
2010,561.822138323763,"LE2-1191.010","FCM"
2011,541.262946700674,"LE2-1191.010","FCM"
2012,549.288195815041,"LE2-1191.010","FCM"
2013,554.153181232743,"LE2-1191.010","FCM"
2014,554.716084541443,"LE2-1191.010","FCM"
1964,669.446386873794,"LE2-1231.011","FCM"
1965,653.554758930721,"LE2-1231.011","FCM"
1966,632.742225740718,"LE2-1231.011","FCM"
1967,658.930621655423,"LE2-1231.011","FCM"
1968,603.690519304601,"LE2-1231.011","FCM"
1969,656.343480043506,"LE2-1231.011","FCM"
1970,685.447149168485,"LE2-1231.011","FCM"
1971,661.898098098347,"LE2-1231.011","FCM"
1972,625.003794564183,"LE2-1231.011","FCM"
1973,572.957112659608,"LE2-1231.011","FCM"
1974,566.149948310008,"LE2-1231.011","FCM"
1975,555.147706145459,"LE2-1231.011","FCM"
1976,515.357633238357,"LE2-1231.011","FCM"
1977,514.133549321458,"LE2-1231.011","FCM"
1978,529.275951303304,"LE2-1231.011","FCM"
1979,505.435210623253,"LE2-1231.011","FCM"
1980,506.294038221418,"LE2-1231.011","FCM"
1981,536.600863156622,"LE2-1231.011","FCM"
1982,588.837094390523,"LE2-1231.011","FCM"
1983,575.918742313491,"LE2-1231.011","FCM"
1984,535.347269874201,"LE2-1231.011","FCM"
1985,503.186071292821,"LE2-1231.011","FCM"
1986,498.785152805922,"LE2-1231.011","FCM"
1987,492.589888057968,"LE2-1231.011","FCM"
1988,493.984871108991,"LE2-1231.011","FCM"
1989,497.272440846738,"LE2-1231.011","FCM"
1990,496.239257691383,"LE2-1231.011","FCM"
1991,523.35914034739,"LE2-1231.011","FCM"
1992,524.708126323825,"LE2-1231.011","FCM"
1993,503.375777882387,"LE2-1231.011","FCM"
1994,513.64415780341,"LE2-1231.011","FCM"
1995,514.691856589495,"LE2-1231.011","FCM"
