"lon","lat","beta.mean","beta.sd","n.members"
168.75,56.0733032226562,0.00371060391780261,0.021577372761029,20
168.75,57.0157012939453,0.00398417111869463,0.0218061737077774,20
168.75,57.9581146240234,0.0037815610401981,0.0209716529506664,20
168.75,58.9005279541016,0.00290258120991984,0.0193617786818117,20
168.75,59.8429260253906,0.00148967156803474,0.0188809178759781,20
168.75,60.7853393554688,0.000814369857286204,0.0192125405407643,20
170,20.2617797851562,0.00621105531783361,0.0239322167552171,20
170,21.2041854858398,0.00539019174071644,0.0218371782450041,20
170,22.146598815918,0.00399973573378277,0.0207941219399577,20
170,23.0890045166016,0.00297633045928204,0.0202920770103933,20
170,24.0314178466797,0.00298148646798779,0.0186503454001601,20
170,24.9738235473633,0.00319943491691084,0.0160624940186896,20
170,25.9162292480469,0.00255243713788217,0.0141390114591841,20
170,26.858642578125,0.0011571571252186,0.0142062333876267,20
170,27.8010482788086,-0.000708616465548367,0.0167898284059228,20
170,28.7434539794922,-0.00147703551543598,0.0196517247361381,20
170,29.6858673095703,-0.000894575361285608,0.0214904835929289,20
170,30.6282730102539,0.000758280792946287,0.0220581483657887,20
170,31.5706787109375,0.00368326425327394,0.023338412370605,20
170,32.5130920410156,0.00756816178236063,0.0248867166612855,20
170,33.4554977416992,0.00969366862841032,0.0255797419404997,20
170,34.3979034423828,0.0115740101837609,0.0254623256743399,20
170,35.3403167724609,0.0125369878436743,0.0246695170893187,20
170,36.2827224731445,0.0132352027016339,0.0236584918842742,20
170,37.2251281738281,0.0134928223682389,0.0220499121789541,20
170,38.1675415039062,0.0129058045729514,0.0201294434496742,20
170,39.1099548339844,0.0117243327716057,0.0181806775899967,20
170,40.0523529052734,0.0105189216084566,0.0176072341277655,20
170,40.9947662353516,0.00871730536680166,0.0185187036706595,20
170,41.9371795654297,0.00677261259369067,0.0202164709787988,20
170,42.8795776367188,0.00436514855723511,0.0228347386847918,20
170,43.8219909667969,0.00298577386788761,0.0241743872126831,20
170,44.764404296875,0.00189953396218197,0.0237047925762955,20
170,45.7068023681641,0.00123048663010268,0.0216509153024574,20
170,46.6492156982422,0.000876665633594186,0.0182232467298287,20
170,47.5916290283203,0.00104149545038814,0.0160817837265129,20
170,48.5340270996094,0.00120932486324835,0.0159607500320073,20
170,49.4764404296875,0.00123288521730257,0.0164009704965807,20
170,50.4188537597656,0.00131449046329084,0.0163049929706417,20
170,51.3612518310547,0.0013836555072473,0.0158699192167833,20
170,52.3036651611328,0.00159022259810888,0.0158336388921838,20
170,53.2460784912109,0.00208738437443807,0.0169872310017701,20
170,54.1884765625,0.00283020280912144,0.0189005019944014,20
170,55.1308898925781,0.00340968424794429,0.0200655681013677,20
170,56.0733032226562,0.00397226021193133,0.0208236431627181,20
170,57.0157012939453,0.00425734777234312,0.0211626401454117,20
170,57.9581146240234,0.00400393274987316,0.0202314283630194,20
170,58.9005279541016,0.00315762083031737,0.0185257511469704,20
170,59.8429260253906,0.00210643671897925,0.0177239504736511,20
170,60.7853393554688,0.00082652161023621,0.0191663880199559,20
171.25,20.2617797851562,0.00569067638143806,0.0254156451270354,20
171.25,21.2041854858398,0.00511978586718417,0.0235139182656505,20
171.25,22.146598815918,0.004009880285603,0.0222127928531133,20
171.25,23.0890045166016,0.00311915138768124,0.0211769769628319,20
171.25,24.0314178466797,0.00326733370693143,0.0191786657290575,20
171.25,24.9738235473633,0.00375809433465751,0.0161836427558954,20
171.25,25.9162292480469,0.00347741192209139,0.0137622938381588,20
171.25,26.858642578125,0.00222305642305573,0.0136068105999593,20
171.25,27.8010482788086,0.000184709381361695,0.0163168990717005,20
171.25,28.7434539794922,-0.000934019541163003,0.0196271211483929,20
171.25,29.6858673095703,-0.000795072491227014,0.0219180966394995,20
171.25,30.6282730102539,0.000632218250867691,0.0223065785816972,20
171.25,31.5706787109375,0.00312781451246649,0.0230721320982552,20
171.25,32.5130920410156,0.00735017123785583,0.0243879604521576,20
171.25,33.4554977416992,0.00985752999456986,0.0251718889621138,20
171.25,34.3979034423828,0.0117805631498791,0.0252764999452741,20
171.25,35.3403167724609,0.0129059863334057,0.0244579354917893,20
171.25,36.2827224731445,0.0134748266589013,0.0233265051588303,20
171.25,37.2251281738281,0.013572156845708,0.0217314143900358,20
171.25,38.1675415039062,0.0128844545040728,0.020040906319223,20
171.25,39.1099548339844,0.0115666126781463,0.0185998159760238,20
171.25,40.0523529052734,0.0103335343094357,0.0184885892053227,20
171.25,40.9947662353516,0.00828114296502542,0.0192402755697249,20
171.25,41.9371795654297,0.00613800019862235,0.0208965164617846,20
171.25,42.8795776367188,0.00393696847181179,0.0235255006851142,20
171.25,43.8219909667969,0.0026643588655046,0.0248208231170796,20
171.25,44.764404296875,0.00183978332234053,0.0240876863658333,20
171.25,45.7068023681641,0.00102946286196467,0.0216505442196778,20
171.25,46.6492156982422,0.00058130869778351,0.0182588508428521,20
171.25,47.5916290283203,0.000698838318819716,0.0163743229796321,20
171.25,48.5340270996094,0.000832631375270915,0.0162626562437243,20
171.25,49.4764404296875,0.000967995386774963,0.0164505998482438,20
171.25,50.4188537597656,0.00103781033964068,0.0162211948573842,20
171.25,51.3612518310547,0.000981119904453934,0.0157004711914115,20
171.25,52.3036651611328,0.00114827789423028,0.0155100116875204,20
171.25,53.2460784912109,0.00184107552708293,0.0164484441381958,20
171.25,54.1884765625,0.00294355999811699,0.017987667556355,20
171.25,55.1308898925781,0.00374449926318618,0.0190765602162643,20
171.25,56.0733032226562,0.00428842076971931,0.0198193873875491,20
171.25,57.0157012939453,0.00452232908947714,0.0202709034458754,20
