"lon","lat","ar1.e1","ar1.e2","diff","variable"
182,65,0.303069806586345,0.227404949980957,-0.0756648566053879,"SST"
182.25,65,0.250505965847074,0.252162820524938,0.00165685467786453,"SST"
182.5,65,0.201890219520008,0.276786903912697,0.0748966843926896,"SST"
182.75,65,0.163208550617582,0.28188553910782,0.118676988490238,"SST"
183,65,0.126030091031031,0.286510859008695,0.160480767977664,"SST"
183.25,65,0.106903023261042,0.297103347424829,0.190200324163787,"SST"
183.5,65,0.0955861404937415,0.298650951718654,0.203064811224912,"SST"
183.75,65,0.0841770380152692,0.298808620285754,0.214631582270485,"SST"
187.75,65,0.191731906876946,0.442200624224359,0.250468717347413,"SST"
188,65,0.208989143358263,0.457790921209303,0.24880177785104,"SST"
188.25,65,0.149336416052064,0.465879314411138,0.316542898359074,"SST"
188.5,65,0.091904516537973,0.435481712857171,0.343577196319198,"SST"
188.75,65,0.0402930872265077,0.402450062278792,0.362156975052284,"SST"
189,65,-0.0329369255388036,0.402492129444248,0.435429054983052,"SST"
189.25,65,-0.0966527724324671,0.402008549794005,0.498661322226472,"SST"
189.5,65,-0.156313057346992,0.416437365466935,0.572750422813927,"SST"
189.75,65,-0.214490994697177,0.453291337028794,0.667782331725971,"SST"
190,65,-0.265981466721158,0.486596659305941,0.752578126027099,"SST"
190.25,65,-0.376666611989891,0.516025525406219,0.892692137396109,"SST"
190.5,65,-0.468216125355645,0.540224871359286,1.00844099671493,"SST"
190.75,65,-0.536773027938273,0.5427589534584,1.07953198139667,"SST"
191,65,-0.6116882131787,0.531269256298261,1.14295746947696,"SST"
191.25,65,-0.66951892791263,0.511946061425559,1.18146498933819,"SST"
191.5,65,-0.666607970160914,0.503884514501935,1.17049248466285,"SST"
191.75,65,-0.660717035721171,0.492059939600744,1.15277697532192,"SST"
192,65,-0.655854317183895,0.466512534904407,1.1223668520883,"SST"
192.25,65,-0.622709671343546,0.406935598618894,1.02964526996244,"SST"
192.5,65,-0.578350275353695,0.340092461443461,0.918442736797155,"SST"
192.75,65,-0.557632186377008,0.333939232420538,0.891571418797546,"SST"
193,65,-0.530131331850932,0.335029132849316,0.865160464700248,"SST"
193.25,65,-0.483297643165112,0.335331221765615,0.818628864930726,"SST"
193.5,65,-0.482435715434597,0.334949934922968,0.817385650357565,"SST"
237.5,65,-0.20516234962849,-0.155549990067154,0.0496123595613358,"SST"
237.75,65,-0.228751165684096,-0.166545012400128,0.062206153283968,"SST"
238,65,-0.249542669998275,-0.17087775520585,0.0786649147924249,"SST"
238.25,65,-0.249542669998275,-0.17087775520585,0.0786649147924249,"SST"
238.5,65,-0.249542669998275,-0.17087775520585,0.0786649147924249,"SST"
239,65,-0.185936585899693,-0.237465655770297,-0.0515290698706034,"SST"
239.25,65,-0.185936585899693,-0.237465655770297,-0.0515290698706034,"SST"
239.5,65,-0.185936585899693,-0.237465655770297,-0.0515290698706034,"SST"
239.75,65,-0.185936585899693,-0.237465655770297,-0.0515290698706034,"SST"
176.75,64.75,0.30918411142814,0.797487390524129,0.488303279095989,"SST"
177,64.75,0.318247985507733,0.808980910811859,0.490732925304127,"SST"
177.25,64.75,0.372474718875649,0.726630548900798,0.354155830025148,"SST"
177.5,64.75,0.24682295940184,0.327275675879184,0.0804527164773441,"SST"
177.75,64.75,0.631971964241608,0.410507491104907,-0.221464473136701,"SST"
179.25,64.75,0.291254657594446,-0.157681425467789,-0.448936083062235,"SST"
179.5,64.75,0.278344311327309,-0.135480871515155,-0.413825182842464,"SST"
179.75,64.75,0.24613424244283,-0.0940445328124484,-0.340178775255279,"SST"
180,64.75,0.211795354542167,-0.0432672950662461,-0.255062649608413,"SST"
180.25,64.75,0.213269591019983,0.0387836519092549,-0.174485939110728,"SST"
180.5,64.75,0.219786063505964,0.130820560856848,-0.0889655026491159,"SST"
180.75,64.75,0.223209598097754,0.196407143884105,-0.0268024542136497,"SST"
181,64.75,0.220805177930742,0.22781012296001,0.00700494502926835,"SST"
181.25,64.75,0.217176907463605,0.257908971620926,0.0407320641573216,"SST"
181.5,64.75,0.217640502226442,0.258692539602112,0.0410520373756696,"SST"
181.75,64.75,0.21648456092967,0.245831416515183,0.0293468555855136,"SST"
182,64.75,0.19895311701788,0.244256327413755,0.0453032103958743,"SST"
182.25,64.75,0.168001700339593,0.256299242096992,0.0882975417573995,"SST"
182.5,64.75,0.135658763507877,0.266141220798366,0.130482457290489,"SST"
182.75,64.75,0.110834320621833,0.277557597969619,0.166723277347787,"SST"
183,64.75,0.0892733064674743,0.292911168585119,0.203637862117644,"SST"
183.25,64.75,0.0808263663084774,0.300584302982889,0.219757936674412,"SST"
183.5,64.75,0.0826072119673764,0.29897646414239,0.216369252175014,"SST"
183.75,64.75,0.0846668600996109,0.297407079431433,0.212740219331822,"SST"
184,64.75,0.0696381834705198,0.3102870846337,0.24064890116318,"SST"
184.25,64.75,0.0443041978944937,0.325583962539478,0.281279764644984,"SST"
184.5,64.75,0.0291217859510198,0.335093590809564,0.305971804858544,"SST"
184.75,64.75,0.0265155034123852,0.336287414831814,0.309771911419429,"SST"
185,64.75,0.0212263521186186,0.330393032928143,0.309166680809525,"SST"
185.25,64.75,0.0254507884570173,0.325796275476093,0.300345487019076,"SST"
187.25,64.75,0.0903274092087643,0.28902567404277,0.198698264834006,"SST"
187.5,64.75,0.0816536696091895,0.30854477733213,0.22689110772294,"SST"
187.75,64.75,0.047607430754634,0.373852149366281,0.326244718611647,"SST"
188,64.75,0.019884974759684,0.41055683236403,0.390671857604346,"SST"
188.25,64.75,-0.0252573141528485,0.415133505113084,0.440390819265933,"SST"
188.5,64.75,-0.0843215969922338,0.410804488130322,0.495126085122556,"SST"
188.75,64.75,-0.125197974757044,0.408341527222804,0.533539501979848,"SST"
189,64.75,-0.165413207773462,0.415203136112639,0.580616343886101,"SST"
189.25,64.75,-0.192993457088832,0.419463467361476,0.612456924450308,"SST"
189.5,64.75,-0.240734733571043,0.435823059216968,0.676557792788011,"SST"
189.75,64.75,-0.309368119093978,0.462444409408354,0.771812528502332,"SST"
190,64.75,-0.37743645684528,0.484119839596519,0.861556296441799,"SST"
190.25,64.75,-0.463634749594742,0.505961547741467,0.96959629733621,"SST"
190.5,64.75,-0.539730294588691,0.521160696347719,1.06089099093641,"SST"
190.75,64.75,-0.598871715932078,0.529857292065057,1.12872900799713,"SST"
191,64.75,-0.643012589567078,0.528165967395962,1.17117855696304,"SST"
191.25,64.75,-0.675233052586158,0.515136293931773,1.19036934651793,"SST"
191.5,64.75,-0.680674519077277,0.521906595017774,1.20258111409505,"SST"
