"lon","lat","beta","pval","qval"
194.5,64.5,-0.000418834295413228,0.915706654104233,0.942250809117597
195.5,64.5,0.000683880142955738,0.840808385232049,0.888503834561871
195.75,64.5,0.000599056342390835,0.856821693315304,0.89996905694528
196,64.5,0.000415313026964842,0.895060237598599,0.92787201995781
196.25,64.5,0.000225767492719526,0.939790798860999,0.958640626583601
196.5,64.5,0.000172793909732738,0.949306972864117,0.965531288254233
196.75,64.5,0.000174450734703687,0.943428970732299,0.961282923097877
197,64.5,6.15092163607438e-06,0.997738932702844,0.998530519751344
197.25,64.5,-0.000324415455181587,0.860847259520868,0.902885635143563
197.5,64.5,-0.000839975950536202,0.597019473316713,0.696345280944003
197.75,64.5,-0.00137446142437474,0.347290614477529,0.462485743604374
198,64.5,-0.00228508772584269,0.134706131472574,0.214181172396296
198.25,64.5,-0.00261625748132482,0.092808145527949,0.157435801483443
198.5,64.5,-0.00240973671913513,0.0941627050959295,0.159313409848066
198.75,64.5,-0.00220844711975495,0.09994898625914,0.167466707527174
199,64.5,-0.00221185404267322,0.0995738813469039,0.166925316302276
249.25,64.5,0.00212804490496825,0.145354377313878,0.228189284028987
249.5,64.5,0.00212804490496825,0.145354377313878,0.228189284028987
178.5,64.25,0.00492196522299824,0.114418123539743,0.187346384974991
178.75,64.25,0.00541827984818686,0.114728281115043,0.18773961113988
179,64.25,0.00625278271676505,0.0890041522914774,0.151987171365339
179.25,64.25,0.00631711071474339,0.106822851348184,0.176969189006467
179.5,64.25,0.00608223264906675,0.142010720890578,0.223740684354323
179.75,64.25,0.0060112233018711,0.163646893648787,0.251464975713428
180,64.25,0.00581638085468619,0.196687448558575,0.292566884947941
180.25,64.25,0.00553942606652229,0.236600616895699,0.340001781587814
180.5,64.25,0.00536045995156613,0.274154724364738,0.383149465409538
180.75,64.25,0.0054615431414215,0.287070657490291,0.397862621817262
181,64.25,0.0059242422776676,0.274555601883031,0.383580707191513
181.25,64.25,0.0063324537380501,0.27527281042984,0.384377460095355
181.5,64.25,0.00796954148591479,0.194054668197715,0.289229280757181
181.75,64.25,0.00977406549920938,0.13517762154071,0.214819625782002
182,64.25,0.01116215032568,0.1075718155528,0.177980397017211
182.25,64.25,0.0121196708792765,0.0981862751031903,0.164971064702551
182.5,64.25,0.0130910794324241,0.0929425776639611,0.157592561056677
182.75,64.25,0.012556695992693,0.10794129473899,0.178470486386159
183,64.25,0.0118809848153049,0.129770127000254,0.207754550160863
